humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,clouds_all,air_pollution_index
89,2,329,1,1,288.28,40,121
67,3,330,1,1,289.36,75,178
66,3,329,2,2,289.58,90,113
66,3,329,5,5,290.13,90,20
65,3,329,7,7,291.14,75,281
65,3,328,6,6,291.72,1,23
64,3,328,7,7,293.17,1,184
64,3,327,7,7,293.86,1,167
63,3,327,6,6,294.14,20,119
63,3,326,3,3,293.1,20,161
62,3,326,8,8,290.97,20,243
62,3,326,5,5,289.38,1,150
61,4,325,4,4,288.61,1,128
61,4,325,7,7,287.16,1,18
60,4,324,5,5,285.45,1,186
60,4,324,2,2,284.63,1,58
59,4,324,6,6,283.47,1,158
59,4,323,1,1,281.18,1,166
58,4,323,7,7,281.09,1,101
58,4,322,4,4,279.53,1,161
57,4,322,3,3,278.62,1,179
57,4,322,4,4,278.23,1,93
56,4,321,4,4,278.12,1,57
56,4,321,4,4,282.48,1,226
55,4,320,3,3,291.97,1,86
55,4,320,1,1,293.23,1,52
55,4,320,4,4,294.31,1,273
55,5,350,3,3,295.17,1,72
55,4,320,1,1,295.13,1,254
55,5,330,4,4,293.66,20,129
48,7,330,1,1,290.65,20,271
42,6,320,1,1,288.19,20,259
33,5,340,8,8,287.1,1,61
30,5,340,4,4,286.25,1,286
33,3,340,9,9,285.26,1,151
32,5,350,8,8,284.55,1,260
37,5,350,5,5,283.47,1,234
36,4,330,5,5,283.17,1,162
39,6,340,1,1,282.04,1,65
41,5,340,1,1,281.69,1,18
44,5,350,4,4,281.32,1,250
44,4,340,4,4,280.74,1,173
47,4,350,2,2,280.57,1,142
50,4,360,5,5,281.86,1,90
75,0,0,6,6,284.98,1,144
57,0,0,8,8,289.18,1,143
70,1,320,1,1,291.55,1,61
93,0,0,4,4,294.97,1,211
84,0,0,6,6,296.38,1,207
75,0,0,7,7,297.32,1,115
57,0,0,2,2,298.17,1,253
53,1,63,5,5,298.06,20,242
49,2,126,5,5,297.67,20,23
45,3,190,5,5,296.36,40,234
37,3,170,6,6,293.85,40,220
28,3,190,5,5,292.43,40,210
30,2,0,7,7,291.77,75,174
26,4,140,4,4,291.36,75,58
26,3,170,1,1,291.12,75,142
26,3,200,6,6,290.63,75,79
30,3,180,9,9,290.46,40,128
34,2,150,4,4,289.26,0,148
41,2,140,7,7,283.21,75,252
47,3,140,3,3,282.24,90,190
47,2,160,9,9,281.69,90,192
47,2,160,9,9,280.57,90,59
54,2,130,6,6,280.02,75,190
71,0,0,5,5,280.11,75,134
58,2,110,8,8,280,90,240
76,2,150,9,9,280.53,90,12
71,3,110,5,5,281.43,75,182
71,1,110,5,5,281.78,90,90
76,2,110,3,3,281.91,90,284
76,2,120,2,2,281.73,90,228
71,1,110,9,9,281.42,90,149
54,0,0,8,8,280.87,90,72
45,2,160,2,2,280.15,90,36
35,2,0,6,6,279.78,90,205
27,4,160,9,9,279.65,75,161
25,4,180,4,4,279.22,40,261
25,4,160,4,4,279.06,40,257
23,5,150,6,6,278.81,90,163
23,5,160,4,4,278.55,90,219
25,4,150,7,7,278.59,90,31
32,2,140,9,9,276.99,75,79
30,3,130,7,7,276.35,20,28
37,3,130,1,1,275.4,1,110
42,3,140,9,9,275.17,1,171
45,5,140,3,3,274.99,1,148
45,5,140,2,2,275.09,40,97
48,5,140,2,2,276.88,20,46
24,2,194,7,7,278.04,20,180
24,0,248,6,6,279.08,40,269
31,4,239,6,6,280.12,75,280
62,9,230,7,7,280.25,75,264
70,5,240,5,5,280,75,149
70,9,240,5,5,279.06,90,77
70,8,250,1,1,278.91,90,77
70,7,250,1,1,278.39,90,178
61,9,250,8,8,278.16,90,114
65,9,260,2,2,278.16,90,67
70,8,250,1,1,277.93,90,196
70,10,270,5,5,276.9,90,65
70,12,260,5,5,276.34,75,13
70,10,260,2,2,276.11,75,294
70,12,270,6,6,275.73,90,26
70,8,260,7,7,275.65,90,246
70,7,270,4,4,275.51,75,259
52,8,280,9,9,275.05,90,33
52,8,290,3,3,274.77,90,125
52,5,280,9,9,274.77,75,247
56,7,290,7,7,275.55,75,178
56,8,280,7,7,276.24,75,297
56,7,290,1,1,277.01,90,250
56,9,270,5,5,277.43,90,299
56,8,270,5,5,278.45,90,260
28,8,275,8,8,279.27,90,174
56,9,280,1,1,279.27,90,150
60,7,280,7,7,279.44,90,129
64,6,270,5,5,279.32,90,170
69,5,260,4,4,279.27,90,114
80,4,260,1,1,278.11,90,101
80,5,250,2,2,276.79,75,213
60,7,280,4,4,275.73,90,49
56,8,260,5,5,274.88,75,63
45,8,290,9,9,273.92,20,98
45,9,300,5,5,273.08,20,144
42,7,290,6,6,272.62,20,11
42,8,280,7,7,271.78,1,106
45,10,310,8,8,271.05,1,65
48,7,300,6,6,270.63,1,133
48,8,290,2,2,270.33,1,194
52,6,290,6,6,269.61,20,134
52,8,280,9,9,270.01,20,273
56,7,300,4,4,271.23,20,200
55,8,310,6,6,273.71,20,224
55,6,300,4,4,276.77,20,230
59,5,300,7,7,279.47,20,208
62,5,300,1,1,279.84,1,183
65,5,300,1,1,282.34,40,226
69,5,300,9,9,282.94,40,215
69,7,310,1,1,283.48,1,76
69,5,320,5,5,284.33,1,183
69,6,330,9,9,284.48,40,87
