Country,State,city,place,lastupdate,Avg,Max,Min
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-12-2018 03:00,70,108,42
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-12-2018 03:00,76,102,43
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-12-2018 03:00,73,118,46
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-12-2018 03:00,5,6,4
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-12-2018 03:00,41,109,2
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-12-2018 03:00,44,102,18
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-12-2018 03:00,29,35,12
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-12-2018 03:00,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-12-2018 03:00,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-12-2018 03:00,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-12-2018 03:00,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-12-2018 03:00,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-12-2018 03:00,30,103,2
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-12-2018 03:00,108,130,51
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-12-2018 03:00,46,72,28
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-12-2018 03:00,64,83,40
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-12-2018 03:00,61,89,36
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-12-2018 03:00,2,3,2
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-12-2018 03:00,10,12,6
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-12-2018 03:00,16,25,6
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-12-2018 03:00,36,58,27
India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",21-12-2018 03:00,46,73,32
India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",21-12-2018 03:00,65,74,50
India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",21-12-2018 03:00,15,18,13
India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",21-12-2018 03:00,2,3,2
India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",21-12-2018 03:00,14,23,11
India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",21-12-2018 03:00,41,78,34
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-12-2018 03:00,71,96,53
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-12-2018 03:00,76,101,54
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-12-2018 03:00,39,81,13
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-12-2018 03:00,3,4,2
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-12-2018 03:00,6,13,2
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-12-2018 03:00,68,81,39
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",21-12-2018 03:00,342,456,226
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",21-12-2018 03:00,12,15,10
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",21-12-2018 03:00,11,26,4
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",21-12-2018 03:00,54,115,7
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",21-12-2018 03:00,56,74,27
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",21-12-2018 03:00,436,500,270
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",21-12-2018 03:00,29,68,20
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",21-12-2018 03:00,29,98,12
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",21-12-2018 03:00,68,111,2
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",21-12-2018 03:00,61,132,32
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",21-12-2018 03:00,457,500,325
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",21-12-2018 03:00,15,22,11
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",21-12-2018 03:00,34,47,20
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",21-12-2018 03:00,95,148,71
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00,389,475,247
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00,314,446,154
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00,131,194,61
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00,10,15,6
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00,30,48,16
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00,56,109,25
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00,41,86,1
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00,NA,NA,NA
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00,NA,NA,NA
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00,NA,NA,NA
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00,NA,NA,NA
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00,NA,NA,NA
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00,89,175,68
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00,20,29,11
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00,418,500,313
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00,333,455,194
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00,40,88,4
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00,10,12,8
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00,29,51,14
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00,86,120,55
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00,63,140,6
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",21-12-2018 03:00,329,430,153
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",21-12-2018 03:00,257,424,125
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",21-12-2018 03:00,25,29,13
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",21-12-2018 03:00,114,116,100
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",21-12-2018 03:00,45,88,32
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00,311,365,203
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00,345,454,199
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00,64,115,18
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00,17,21,13
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00,21,32,9
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00,65,107,35
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00,56,145,2
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",21-12-2018 03:00,388,500,226
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",21-12-2018 03:00,317,500,150
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",21-12-2018 03:00,28,38,21
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",21-12-2018 03:00,106,110,71
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",21-12-2018 03:00,27,40,24
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",21-12-2018 03:00,385,500,185
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",21-12-2018 03:00,360,497,159
