Area,Months,Y2015,Y2016,Y2017,Y2018,Y2019
India,January,-0.073,1.1,0.786,0.527,0.122
India,February,0.97,1.777,1.286,1.29,0.392
India,March,-0.186,1.607,0.592,1.395,0.141
India,April,-0.505,1.67,1.198,0.654,1.034
India,May,0.64,0.581,0.842,0.61,0.843
India,June,0.04,0.663,0.173,0.429,1.577
India,July,0.844,0.275,0.363,0.428,0.954
India,August,0.903,0.72,0.838,0.46,0.751
India,September,1.255,0.555,1.023,0.519,0.445
India,October,1.368,0.816,1.26,0.803,0.267
India,November,1.617,0.73,0.694,1.122,1.389
India,December,1.231,1.342,0.987,0.308,0.181
